city;country;population
Maswarah;Yemen;0
Ḩawrah;Yemen;0
Al Khāniq;Yemen;2
Uitenhage;South Africa;228912
Taung;South Africa;0
Prieska;South Africa;11236
Postmasburg;South Africa;30089
Peddie;South Africa;0
Hoedspruit;South Africa;0
Flagstaff;South Africa;0
Driefontein;South Africa;28127
Cullinan;South Africa;25490
Vredendal;South Africa;14806
Simon's Town;South Africa;6569
Thornhill;South Africa;5000
Kaputa;Zambia;2683
Mansa;Zambia;42277
Luwingu;Zambia;6161
Shamva;Zimbabwe;10317
Chinhoyi;Zimbabwe;90800
Chimanimani;Zimbabwe;2752
Beitbridge;Zimbabwe;58100
Phú Túc;Viet Nam;0
Núi Đèo;Viet Nam;0
Mỹ Lộc;Viet Nam;0
Kinh Môn;Viet Nam;0
Bình Long;Viet Nam;15000
Hòa Bình;Viet Nam;105260
Gia Nghĩa;Viet Nam;61413
Đại Lộc;Viet Nam;16215
Cổ Lóa;Viet Nam;16514
Cái Nước;Viet Nam;0
Bảo Lộc;Viet Nam;151915
Bẩn Yên Nhân;Viet Nam;0
Quan Sơn;Viet Nam;0
Mường Khến;Viet Nam;0
Đông Hưng;Viet Nam;0
Khoái Châu;Viet Nam;0
Trôi;Viet Nam;0
Sơn Trà;Viet Nam;0
Nanyang;China;12267
Puchi;China;16272
Tangga’an;China;2774
Kaba;China;2302
Bali;China;7101
Yupan;China;14227
Nagqu;China;0
Bala Ga’er Gaole;China;0
Sanjiang;China;0
Tianba;China;9568
Taihe;China;9784
Baihe;China;40937
Sanhuikou;China;13190
Zhonggulou;China;85873
Xinmin;China;28033
Jindai;China;11644
Shuanglongchang;China;12372
Banqiao;China;7249
Yudi;China;6303
Jindaoxia;China;13752
Yongrong;China;14305
Weixin;China;10872
Jianlong;China;18151
Jianhua;China;0
Muyu;China;9089
Gongnong;China;0
Guhua;China;7221
Meixian;China;0
Bianjiang;China;0
Shilin;China;9404
Beizheng;China;13189
Xinjia;China;0
Nu’erbage;China;0
Taoyuan;China;34655
Hongguang Qidui;China;17409
